sat_id,az,el,pr,qzss,gps
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
16,98.387,19.521,2.38E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
18,90.368,74.68,2.00E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
11,-93.426,80.673,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
22,145.58,17.819,2.36E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
27,48.254,18.524,2.37E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
18,90.368,74.68,2.00E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
300,36.135,67.837,3.91E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
100,156.33,18.805,3.69E+07,1,0
200,140.16,66.23,3.66E+07,1,0
1,179.75,63.286,2.04E+07,0,1
7,-85.601,64.381,2.04E+07,0,1
8,24.586,44.316,2.16E+07,0,1
16,98.387,19.521,2.38E+07,0,1
22,145.58,17.819,2.36E+07,0,1
27,48.254,18.524,2.37E+07,0,1
28,-51.646,11.165,2.49E+07,0,1
